Date,Open,High,Low,Close,Volume,Adj Close
2014-06-02 00:00,653.38,676.75,611.31,629.96,100,629.96
2014-06-03 00:00,630.2,675.91,621.69,665.25,100,665.25
2014-06-04 00:00,664.03,672.39,616.95,646.12,100,646.12
2014-06-05 00:00,646.43,665.14,635.86,658.78,100,658.78
2014-06-06 00:00,659.14,662.05,647.81,653.65,100,653.65
2014-06-07 00:00,654.74,656.15,635.85,650.31,100,650.31
2014-06-08 00:00,650.54,657.09,648.55,651.58,100,651.58
2014-06-09 00:00,651.56,655.09,637.63,646.53,100,646.53
2014-06-10 00:00,646.31,658.02,641.42,652.92,100,652.92
2014-06-11 00:00,652.18,654.96,627.9098,641.85,100,641.85
2014-06-12 00:00,641.64,643.8,622.77,623.63,100,623.63
2014-06-13 00:00,623.76,623.76,562.84,588.72,100,588.72
2014-06-14 00:00,588.65,598.28,554.25,554.25,100,554.25
2014-06-15 00:00,553.84,576.59,541.53,557.86,100,557.86
2014-06-16 00:00,557.09,606.86,555.25,592.85,100,592.85
2014-06-17 00:00,592.24,602.07,585.96,597.45,100,597.45
2014-06-18 00:00,597.25,614.17,595.97,605.92,100,605.92
2014-06-19 00:00,605.66,606.42,592.2648,603.64,100,603.64
2014-06-20 00:00,603.92,604.33,581.51,592.89,100,592.89
2014-06-21 00:00,592.9,593.72,581.31,591.25,100,591.25
2014-06-22 00:00,591.25,603.3,590.06,597.02,100,597.02
2014-06-23 00:00,597.48,599.79,581.03,587.84,100,587.84
2014-06-24 00:00,587.75,590.71,581.39,587.27,100,587.27
2014-06-25 00:00,587.26,587.55,559.59,567.98,100,567.98
2014-06-26 00:00,567.92,572.2,558.69,569.59,100,569.59
2014-06-27 00:00,569.56,588.61,568.69,587.48,100,587.48
2014-06-28 00:00,586.99,604.52,578.51,594.73,100,594.73
2014-06-29 00:00,594.76,599.27,590.4,592.82,100,592.82
2014-06-30 00:00,592.82,635.82,588.34,621.45,100,621.45
2014-07-01 00:00,621.66,654.77,618.57,649.15,100,649.15
2014-07-02 00:00,649.22,654.13,627.93,650.85,100,650.85
2014-07-03 00:00,650.62,653.82,638.47,640.49,100,640.49
2014-07-04 00:00,640.54,644.99,626.27,631.0,100,631.0
2014-07-05 00:00,630.94,632.85,624.7,629.6,100,629.6
2014-07-06 00:00,629.04,636.09,625.11,630.71,100,630.71
2014-07-07 00:00,630.56,633.38,612.78,612.78,100,612.78
2014-07-08 00:00,612.76,623.68,612.28,618.82,100,618.82
2014-07-09 00:00,618.89,624.03,616.35,622.42,100,622.42
2014-07-10 00:00,622.09,623.45,608.58,613.37,100,613.37
2014-07-11 00:00,613.41,628.95,613.08,625.22,100,625.22
2014-07-12 00:00,625.2,636.64,625.2,627.28,100,627.28
2014-07-13 00:00,627.34,635.12,626.77,630.11,100,630.11
2014-07-14 00:00,630.12,630.78,616.16,619.69,100,619.69
2014-07-15 00:00,619.59,622.6,617.48,621.13,100,621.13
2014-07-16 00:00,621.16,621.42,612.89,616.0,100,616.0
2014-07-17 00:00,615.73,626.28,612.0,625.93,100,625.93
2014-07-18 00:00,625.91,627.07,616.66,620.58,100,620.58
2014-07-19 00:00,620.4,628.78,620.28,625.06,100,625.06
2014-07-20 00:00,625.17,626.68,618.8,620.4,100,620.4
2014-07-21 00:00,620.42,621.66,616.25,619.78,100,619.78
2014-07-22 00:00,619.49,622.59,618.71,620.55,100,620.55
2014-07-23 00:00,620.55,620.9,617.38,619.77,100,619.77
2014-07-24 00:00,619.64,619.93,591.58,598.89,100,598.89
2014-07-25 00:00,598.75,606.22,593.79,599.64,100,599.64
2014-07-26 00:00,599.64,600.0,590.21,591.47,100,591.47
2014-07-27 00:00,591.47,598.24,590.9454,591.17,100,591.17
2014-07-28 00:00,591.24,592.85,571.85,579.13,100,579.13
2014-07-29 00:00,578.99,623.06,511.87,579.91,100,579.91
2014-07-30 00:00,580.41,583.22,569.76,573.76,100,573.76
2014-07-31 00:00,574.22,586.98,559.85,584.83,100,584.83
2014-08-01 00:00,584.94,601.94,581.35,598.94,100,598.94
2014-08-02 00:00,598.97,598.97,584.09,587.31,100,587.31
2014-08-03 00:00,587.21,590.28,577.82,587.01,100,587.01
2014-08-04 00:00,587.06,592.85,582.41,589.05,100,589.05
2014-08-05 00:00,589.09,591.24,580.07,583.52,100,583.52
2014-08-06 00:00,583.3,586.97,578.58,586.03,100,586.03
2014-08-07 00:00,586.05,588.22,580.97,587.93,100,587.93
